Query1.INSTNM,Attribute,UNITID,Attribute (groups)
Randolph-Macon College,6 - BS&BC 30 Institutions,233295,6 - BS&BC 30 Institutions (30)
Ripon College,5 - BS&BC 29 Institutions,239628,5 - BS&BC 29 Institutions (29)
Ripon College,6 - BS&BC 30 Institutions,239628,6 - BS&BC 30 Institutions (30)
Saint Johns University,5 - BS&BC 29 Institutions,174792,5 - BS&BC 29 Institutions (29)
Saint Johns University,6 - BS&BC 30 Institutions,174792,6 - BS&BC 30 Institutions (30)
Saint Mary's College,5 - BS&BC 29 Institutions,152390,5 - BS&BC 29 Institutions (29)
Saint Mary's College,6 - BS&BC 30 Institutions,152390,6 - BS&BC 30 Institutions (30)
Spelman College,5 - BS&BC 29 Institutions,141060,5 - BS&BC 29 Institutions (29)
Spelman College,6 - BS&BC 30 Institutions,141060,6 - BS&BC 30 Institutions (30)
The College of Wooster,2 - Group of Interest - 8,206589,2 - Group of Interest - 8
The College of Wooster,3 - GLCA 12 Institutions,206589,3 - GLCA 12 Institutions (12)
The College of Wooster,5 - BS&BC 29 Institutions,206589,5 - BS&BC 29 Institutions (29)
The College of Wooster,6 - BS&BC 30 Institutions,206589,6 - BS&BC 30 Institutions (30)
Transylvania University,5 - BS&BC 29 Institutions,157818,5 - BS&BC 29 Institutions (29)
Transylvania University,6 - BS&BC 30 Institutions,157818,6 - BS&BC 30 Institutions (30)
University of Michigan-Ann Arbor,4 - Competitor Group 10 Institutions,170976,4 - Competitor Group 10 Institutions (10)
Ursinus College,5 - BS&BC 29 Institutions,216524,5 - BS&BC 29 Institutions (29)
Ursinus College,6 - BS&BC 30 Institutions,216524,6 - BS&BC 30 Institutions (30)
Wabash College,3 - GLCA 12 Institutions,152673,3 - GLCA 12 Institutions (12)
Washington & Jefferson College,5 - BS&BC 29 Institutions,216667,5 - BS&BC 29 Institutions (29)
Washington & Jefferson College,6 - BS&BC 30 Institutions,216667,6 - BS&BC 30 Institutions (30)
Washington College,6 - BS&BC 30 Institutions,164216,6 - BS&BC 30 Institutions (30)
Westminster College,5 - BS&BC 29 Institutions,216807,5 - BS&BC 29 Institutions (29)
Westminster College,6 - BS&BC 30 Institutions,216807,6 - BS&BC 30 Institutions (30)
Wittenberg University,2 - Group of Interest - 8,206525,2 - Group of Interest - 8
Wittenberg University,5 - BS&BC 29 Institutions,206525,5 - BS&BC 29 Institutions (29)
Wittenberg University,6 - BS&BC 30 Institutions,206525,6 - BS&BC 30 Institutions (30)
Wofford College,5 - BS&BC 29 Institutions,218973,5 - BS&BC 29 Institutions (29)
Wofford College,6 - BS&BC 30 Institutions,218973,6 - BS&BC 30 Institutions (30)
